ORCID,full_name,given_name,family_name,credit_name,status_code,error
0000-0001-5158-0453, Herbert, Herbert,,,200,
0000-0001-5161-9864,Tae-Kyung Kim,Tae-Kyung,Kim,,200,
0000-0001-5167-3975,Fan-Yun Lan,Fan-Yun,Lan,,200,
0000-0001-5167-8119,Huize Wang,Huize,Wang,,200,
0000-0001-5169-2404,Sezen Kislal,Sezen,Kislal,,200,
0000-0001-5170-2940,Ran Xie,Ran,Xie,,200,
0000-0001-5173-1063,Yu Luo,Yu,Luo,,200,
0000-0001-5173-4686,Sarah J Halford,Sarah J,Halford,,200,
0000-0001-5176-7496,Jerome L. Ackerman,Jerome,Ackerman,Jerome L. Ackerman,200,
0000-0001-5178-3496,Elena L Glassman,Elena,Glassman,Elena L Glassman,200,
0000-0001-5181-1573,Heather C. Hill,Heather,Hill,Heather C. Hill,200,
0000-0001-5181-8433,Stefano Olgiati,Stefano,Olgiati,,200,
0000-0001-5184-0323,SELİS ÖNEL,SELİS,ÖNEL,,200,
0000-0001-5184-5829,Kristen Hayashida,Kristen,Hayashida,,200,
0000-0001-5184-7015,Douglas F. Bauer,Douglas F.,Bauer,,200,
0000-0001-5186-5838,Jennifer Jiang,Jennifer,Jiang,,200,
0000-0001-5186-9775,John Clohessy,John,Clohessy,,200,
0000-0001-5189-1227,Olivier Pourquie,Olivier,Pourquie,,200,
0000-0001-5191-4580,Gianmarco Rinaldi,Gianmarco,Rinaldi,,200,
0000-0001-5195-1533,Matthew J White,Matthew,White,Matthew J White,200,
0000-0001-5199-279X,Hannah Kinney,Hannah,Kinney,,200,
0000-0001-5200-7325,Yenee Soh,Yenee,Soh,,200,
0000-0001-5201-6774,Giulia Menichetti,Giulia,Menichetti,,200,
0000-0001-5207-7884,David Howell,David,Howell,,200,
0000-0001-5208-788X,Kailyn Doiron,Kailyn,Doiron,,200,
0000-0001-5212-5292,Richard Albert,Richard,Albert,,200,
0000-0001-5213-421X,Hannah Greenwald Healy,Hannah,Greenwald Healy,,200,
0000-0001-5215-021X,Subhra Sundar Goswami,Subhra Sundar,Goswami,,200,
0000-0001-5216-2018,P. Emanuela Voinescu,P. Emanuela,Voinescu,,200,
0000-0001-5218-9376,Valeria Schmidt,Valeria,Schmidt,,200,
0000-0001-5219-5776,Christopher Petty,Christopher,Petty,,200,
0000-0001-5220-2665,Qu Zhang,Qu,Zhang,,200,
0000-0001-5221-6194,Minja Velimirovic,Minja,Velimirovic,,200,
0000-0001-5223-3154,Ishu Gupta,Ishu,Gupta,,200,
0000-0001-5227-4829,Nathan Oman,Nathan,Oman,,200,
0000-0001-5229-2111,Irene G. Wong,Irene,Wong,Irene G. Wong,200,
0000-0001-5229-5005,Paul Anderson,Paul,Anderson,,200,
0000-0001-5229-9196,Charlie Y. Shi,Charlie,Shi,Charlie Y. Shi,200,
0000-0001-5233-1213,Ilan Youngster,Ilan,Youngster,,200,
0000-0001-5233-7279,Ameen Barghi,Ameen,Barghi,,200,
0000-0001-5236-076X,Trevor C. W. Farrow,Trevor,Farrow,Trevor C. W. Farrow,200,
0000-0001-5238-4462,Nicholas Lesica,Nicholas,Lesica,,200,
0000-0001-5238-6564,Abigail McVicar,Abigail,McVicar,,200,
0000-0001-5240-5921,Arash Hadipour Niktarash,Arash,Hadipour Niktarash,,200,
0000-0001-5245-4782,Deepsing Syangtan,Deepsing,Syangtan,,200,
0000-0001-5250-6837,Nofar Rimon,Nofar,Rimon,,200,
0000-0001-5252-252X,Hwan Bae,Hwan,Bae,,200,
0000-0001-5254-5940,Yixue Wang,Yixue,Wang,,200,
0000-0001-5256-5861,Tianyi Feng,Tianyi,Feng,,200,
0000-0001-5259-0047,Patricia A Nelson,Patricia,Nelson,Patricia A Nelson,200,
0000-0001-5260-3274,Nancy Bradt,Nancy,Bradt,,200,
0000-0001-5260-6678,Lakshmi-Prasad Potluri,Lakshmi-Prasad,Potluri,,200,
0000-0001-5261-2250,Cory Smith,Cory,Smith,,200,
0000-0001-5264-3196,Raghu Chivukula,Raghu,Chivukula,,200,
0000-0001-5266-4253,Richard Zare,Richard,Zare,,200,
0000-0001-5267-9631,Liangxia Xie,Liangxia,Xie,,200,
0000-0001-5272-0825,Dwight Williams,Dwight,Williams,,200,
0000-0001-5273-2201,Jeffrey Boone Miller,Jeffrey Boone,Miller,Jeffrey Boone Miller,200,
0000-0001-5273-6851,Pichamol Jirapinyo,Pichamol,Jirapinyo,,200,
0000-0001-5280-5220,Fatima Mostefai,Fatima,Mostefai,,200,
0000-0001-5281-2463,Sun Lee,Sun,Lee,,200,
0000-0001-5283-067X,Bohao Fang,Bohao,Fang,,200,
0000-0001-5283-3694,Peter Ren,Peter,Ren,,200,
0000-0001-5284-9944,Stefania Morganti,Stefania,Morganti,,200,
0000-0001-5286-3623,Ashveena Gajeelee,Ashveena,Gajeelee,,200,
0000-0001-5286-639X,Charles Fortenbach,Charles,Fortenbach,,200,
0000-0001-5292-641X,Michael Berry,Michael,Berry,,200,
0000-0001-5293-2932,Akash Datwani,Akash,Datwani,,200,
0000-0001-5294-4941,Alexandra A Geim,Alexandra Andrea,Geim,Alexandra A Geim,200,
0000-0001-5295-8577,Dov Ronen,Dov,Ronen,Dov Ronen,200,
0000-0001-5295-9844,Muhammad Pate,Muhammad,Pate,,200,
0000-0001-5296-6825,Thomas Thornley,Thomas,Thornley,,200,
0000-0001-5300-6906,Ziqian Zeng,Ziqian,Zeng,,200,
0000-0001-5306-0208,Akash Patnaik,Akash,Patnaik,,200,
0000-0001-5307-1177,Bobby Cervantes,Bobby,Cervantes,,200,
0000-0001-5307-4124,Samuel Veroneau,Samuel,Veroneau,,200,
0000-0001-5307-9021,Nora Kory,Nora,Kory,,200,
0000-0001-5308-4576,Shao-Xiong Lennon Luo,Shao-Xiong Lennon,Luo,Shao-Xiong Lennon Luo,200,
0000-0001-5308-9537,Brandon Johnston,Brandon,Johnston,,200,
0000-0001-5310-2682,Steven Kalkanis,Steven,Kalkanis,,200,
0000-0001-5312-2923,Fareeda Abo-Rass,Fareeda,Abo-Rass,,200,
0000-0001-5314-1681,Alejandra Avalos-Pacheco,Alejandra,Avalos-Pacheco,,200,
0000-0001-5314-2959,Aditya Kamat,Aditya,Kamat,,200,
0000-0001-5315-9275,Simone Francescato,Simone,Francescato,,200,
0000-0001-5317-087X,Anatoly Rinberg,Anatoly,Rinberg,,200,
0000-0001-5319-3537,Ruolan Xue,Ruolan,Xue,,200,
0000-0001-5319-3860,Peng Zou,Peng,Zou,,200,
0000-0001-5320-6107,ZHITAO LIANG,ZHITAO,LIANG,,200,
0000-0001-5322-6271,Timothy Harden,Timothy,Harden,,200,
0000-0001-5322-783X,Arnold Fernandes,Arnold,Fernandes,,200,
0000-0001-5324-5165,Sukin Sim,Sukin,Sim,,200,
0000-0001-5324-8489,Linda Andreev,Linda,Andreev,,200,
0000-0001-5326-0680,Steven Frankland,Steven,Frankland,,200,
0000-0001-5327-7298,Katherine Lachance,Katherine,Lachance,,200,
0000-0001-5327-9701,Ana Lia Graciano,Ana Lia,Graciano,,200,
0000-0001-5328-2062,Ken Solt,Ken,Solt,Ken Solt,200,
0000-0001-5330-3177,Siân V Owen,Siân,Owen,Siân V Owen,200,
0000-0001-5333-6892,Eyal Dassau,Eyal,Dassau,,200,
0000-0001-5336-9117,Theodora Pappa,Theodora,Pappa,,200,
0000-0001-5337-3036,Samantha Sedor,Samantha,Sedor,,200,
0000-0001-5337-5592,Kayla Worthey,Kayla,Worthey,,200,
0000-0001-5338-0455,Anupama Yadav,Anupama,Yadav,,200,
0000-0001-5338-2522,David J. Malan,David J.,Malan,,200,
0000-0001-5342-0525,Vincenzo G. Teran,Vincenzo G.,Teran,,200,
0000-0001-5343-6447,Sean E. McGeary,Sean Edward,McGeary,Sean E. McGeary,200,
0000-0001-5344-6645,Ryan Sullivan,Ryan,Sullivan,,200,
0000-0001-5347-534X,Yuli Lily Hsieh,Yu Li,Hsieh,Yuli Lily Hsieh,200,
0000-0001-5347-8524,Minhal Ahmed,Minhal,Ahmed,,200,
0000-0001-5350-5457,Amanda O'Brien,Amanda,O'Brien,,200,
0000-0001-5351-9592,Joshua Park,Joshua,Park,,200,
0000-0001-5352-6071,Priscila Thihara Rodrigues,Priscila,Thihara Rodrigues,,200,
0000-0001-5355-1330,Carlos Dos Santos,Carlos,Dos Santos,,200,
0000-0001-5356-0130,Paola Calvachi,Paola,Calvachi,,200,
0000-0001-5359-8155,Tori L Cowger,Tori,Cowger,Tori L Cowger,200,
0000-0001-5362-6144,Grace Y. Ng,Grace,Ng,Grace Y. Ng,200,
0000-0001-5364-334X,Karen Adelman,Karen,Adelman,,200,
0000-0001-5368-1215,Swapna Koshy,Swapna,Koshy,,200,
0000-0001-5369-6097,Pura Ileana Arroyo Morales,Pura Ileana,Arroyo Morales,,200,
0000-0001-5370-0922,Lawrence Zi-Qiao Yang,Lawrence Zi-Qiao,Yang,,200,
0000-0001-5370-1597,Pierre BOUTILLIER,Pierre,BOUTILLIER,,200,
0000-0001-5370-523X,Hope Latta,Hope,Latta,,200,
0000-0001-5372-3913,Jacob Greenspon,Jacob,Greenspon,,200,
0000-0001-5373-855X,Catherine M. DesRoches,Catherine M.,DesRoches,Catherine M. DesRoches,200,
0000-0001-5375-6731,Rachael Brust,Rachael,Brust,,200,
0000-0001-5376-3835,Ernesto Zhildeer Chura Flores,Ernesto Zhildeer,Chura Flores,,200,
0000-0001-5379-3989,ivan,ivan,,,200,
0000-0001-5380-3905,tao wu,tao,wu,,200,
0000-0001-5381-8162,Adam Black,Adam,Black,,200,
0000-0001-5384-1856,Jarosław  Deka,Jarosław ,Deka,,200,
0000-0001-5384-8281,Robert Truog,Robert,Truog,,200,
0000-0001-5388-1751,Jumana AlHaj Abed,Jumana,AlHaj Abed,,200,
0000-0001-5390-2858,Jennifer Leaning,Jennifer,Leaning,,200,
0000-0001-5391-3776,Raysha Farah,Raysha,Farah,,200,
0000-0001-5392-3333,Dr. Ngima D. Sherpa,Ngima,Sherpa,Dr. Ngima D. Sherpa,200,
0000-0001-5392-4491,Grégoire Versmée,Grégoire,Versmée,,200,
0000-0001-5393-1464,Ryan Ritraj,Ryan,Ritraj,,200,
0000-0001-5393-9327,Michael Bernath,Michael,Bernath,,200,
0000-0001-5393-9562,Yumiko Ishizawa,Yumiko,Ishizawa,,200,
0000-0001-5395-7752,Michael Spano,Michael,Spano,Michael Spano,200,
0000-0001-5396-387X,Uffe Willemoes-Wissing,Uffe,Willemoes-Wissing,,200,
0000-0001-5397-064X,Olivia Stoddard,Olivia,Stoddard,,200,
0000-0001-5398-3395,Harmon Siegel,Harmon,Siegel,,200,
0000-0001-5398-8516,Iryna Kuksa,Iryna,Kuksa,,200,
0000-0001-5402-3687,Raul G Spallanzani,Raúl Germán,Spallanzani,Raul G Spallanzani,200,
0000-0001-5403-8555,Joshua C. Cofsky,Joshua,Cofsky,Joshua C. Cofsky,200,
0000-0001-5404-0970,"Zaev D Suskin, MD, MBE",Zaev,Suskin,"Zaev D Suskin, MD, MBE",200,
0000-0001-5406-3232,Brandon Mahal,Brandon,Mahal,,200,
0000-0001-5410-0291,Laurence Epstein,Laurence,Epstein,,200,
0000-0001-5412-3397,Yufan Li,Yufan,Li,,200,
0000-0001-5412-3506,Arminder Jassar,Arminder,Jassar,,200,
0000-0001-5414-1595,Jennifer Tobin,Jennifer,Tobin,,200,
0000-0001-5414-5385,Jonathan Lee Gibson,Jonathan,Gibson,Jonathan Lee Gibson,200,
0000-0001-5415-6818,Andrew C. Maccabe,Andrew,Maccabe,Andrew C. Maccabe,200,
0000-0001-5416-0964,Jin Zhang,Jin,Zhang,,200,
0000-0001-5417-9446,Inés M. Del Giudice,Inés María,Del Giudice,Inés M. Del Giudice,200,
0000-0001-5418-2581,Raj Behal,Raj,Behal,,200,
0000-0001-5418-5504,Debi LaPlante,Debi,LaPlante,,200,
0000-0001-5418-7235,Joshua Grolman,Joshua,Grolman,,200,
0000-0001-5419-0549,Doga C Gulhan,Doga C,Gulhan,,200,
0000-0001-5419-833X,Lisa Gilson,Lisa,Gilson,,200,
0000-0001-5421-6673,M. Catarina Silva,M. Catarina,Silva,,200,
0000-0001-5424-5810,Mohammad Almutairi,Mohammad,Almutairi,,200,
0000-0001-5426-9994,Duc Huy Tran,Duc Huy,Tran,,200,
0000-0001-5428-8300,Darren Southee,Darren,Southee,,200,
0000-0001-5430-4550,Stanley Gill,Stanley,Gill,,200,
0000-0001-5439-8614,Emily Ka Yi Tam,Emily Ka Yi,Tam,,200,
0000-0001-5440-6442,Kaiwen Shi,Kaiwen,Shi,,200,
0000-0001-5441-0484,Jongkil Kim,Jongkil,Kim,,200,
0000-0001-5442-3189,Sergio Poli,Sergio,Poli,,200,
0000-0001-5443-5569,Huiwen Yu,Huiwen,Yu,,200,
0000-0001-5443-8292,Ciputra Hartana,Ciputra,Hartana,,200,
0000-0001-5445-0945,Shan Wu,Shan,Wu,,200,
0000-0001-5452-8845,Julian D. Sandbrink,Julian David,Sandbrink,Julian D. Sandbrink,200,
0000-0001-5456-1688,Jennifer J Lee,Jennifer,Lee,Jennifer J Lee,200,
0000-0001-5456-5283,Mei X. Wu,Mei,Wu,Mei X. Wu,200,
0000-0001-5462-3586,Michael Darryl Voysey,Michael Darryl,Voysey,,200,
0000-0001-5470-2364,Gabeba Baderoon,Gabeba,Baderoon,,200,
0000-0001-5472-8273,Adi Doron,Adi,Doron,,200,
0000-0001-5475-413X,Catherine Kegakilwe Koofhethile,Catherine Kegakilwe,Koofhethile,,200,
0000-0001-5475-560X,Alexandra A. Halberstam,Alexandra,Halberstam,Alexandra A. Halberstam,200,
0000-0001-5477-1028,Oya Dursun-Ozkanca,Oya,Dursun-Özkanca,Oya Dursun-Ozkanca,200,
0000-0001-5482-5954,Thasni Karedath,Thasni,karedath abdul azis,Thasni Karedath,200,
0000-0001-5483-026X,Moritz Stingl,Moritz,Stingl,,200,
0000-0001-5483-8026,Sachin Naik,Sachin,Naik,,200,
0000-0001-5484-4987,Lieke van Son,Lieke,van Son,,200,
0000-0001-5486-3475,Andres Guerrero Criado,Andres,Guerrero Criado,,200,
0000-0001-5487-4748,Lisa Kozicky,Lisa,Kozicky,,200,
0000-0001-5490-9744,Judith A. Gutierrez,Judith A.,Gutierrez,Judith A. Gutierrez,200,
0000-0001-5491-4375,Lino Cardenas CL,christian,Lino Cardenas,Lino Cardenas CL,200,
0000-0001-5493-1175,William Nicholas Cesta,William Nicholas,Cesta,,200,
0000-0001-5494-4806,Gail P. Clement,Gail,Clement,Gail P. Clement,200,
0000-0001-5500-9721,Camilo Andres Calixto,Camilo,Calixto,Camilo Andres Calixto,200,
0000-0001-5502-6150,Pauline Schmit,Pauline,Schmit,,200,
0000-0001-5503-3000,Christopher Chiodo,Christopher,Chiodo,,200,
0000-0001-5503-9728,Andres A Binkercosen,Andres,Binkercosen,Andres A Binkercosen,200,
0000-0001-5504-1502,Hirotaka Iijima,Hirotaka,Iijima,,200,
0000-0001-5504-4025,Karen Dynan,Karen,Dynan,,200,
0000-0001-5504-5589,Naomi Hamburg,Naomi,Hamburg,,200,
0000-0001-5509-5463,Mustafa Karatok,Mustafa,Karatok,,200,
0000-0001-5509-6845,Min Zhou,Min,Zhou,,200,
0000-0001-5511-8936,Zachary Zinsli,Zachary,Zinsli,,200,
0000-0001-5514-8975,Philip Matchett Wood,Philip Matchett,Wood,,200,
0000-0001-5515-0856,Laura Gabriele Elsler,Laura Gabriele,Elsler,,200,
0000-0001-5515-948X,Patty Gerstenblith,Patty,Gerstenblith,,200,
0000-0001-5518-2364,Ellen Jopling,Ellen,Jopling,,200,
0000-0001-5518-3973,Yu Xie,Yu,Xie,,200,
0000-0001-5518-6605,Abdullah Al Emran,Abdullah Al,Emran,,200,
0000-0001-5519-228X,Tianli Wang,Tianli,Wang,,200,
0000-0001-5521-0986,German Mauricio Ojeda Pacheco,German Mauricio,Ojeda Pacheco,,200,
0000-0001-5526-5717,Donald Hanna,Donald,Hanna,,200,
0000-0001-5529-3742,S. Layla Heimlich,Layla,Heimlich,S. Layla Heimlich,200,
0000-0001-5529-4358,Clemens Kuhlenkamp,Clemens,Kuhlenkamp,,200,
0000-0001-5531-0127,Jeffrey Y Shyu,Jeffrey,Shyu,Jeffrey Y Shyu,200,
0000-0001-5531-3897,Hillary Stein,Hillary,Stein,,200,
0000-0001-5534-460X,Shayan Gholizadeh,Shayan,Gholizadeh,,200,
0000-0001-5536-2672,Chandra Isenberg,Chandra,Isenberg,,200,
0000-0001-5538-867X,Ayşen (Aysen) UNUDULMAZKAN,Ayşen (Aysen),UNUDULMAZKAN,,200,
0000-0001-5540-3307,"Md Shahinoor Rahman, Ph.D.",Md Shahinoor,Rahman,"Md Shahinoor Rahman, Ph.D.",200,
